Expiration Date,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Type,Index Spot
2025-01-22,0.0,0.0,3677.8,3695.9,0,0.0,0.0,0.0,0,2400.0,Call,6086.3701
2025-01-22,0.05,0.025,0.0,0.05,1,0.0,0.0,0.0,152,2400.0,Put,6086.3701
2025-01-22,0.0,0.0,3477.8,3495.9,0,0.0,0.0,0.0,0,2600.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,52,2600.0,Put,6086.3701
2025-01-22,0.0,0.0,3277.8,3295.9,0,0.0,0.0,0.0,0,2800.0,Call,6086.3701
2025-01-22,0.2,0.0,0.0,0.05,0,0.0,0.0,0.0,21,2800.0,Put,6086.3701
2025-01-22,0.0,0.0,3077.8,3095.9,0,0.0,0.0,0.0,0,3000.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,76,3000.0,Put,6086.3701
2025-01-22,0.0,0.0,2877.8,2895.9,0,0.0,0.0,0.0,0,3200.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,88,3200.0,Put,6086.3701
2025-01-22,0.0,0.0,2677.8,2695.9,0,0.0,0.0,0.0,0,3400.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,175,3400.0,Put,6086.3701
2025-01-22,0.0,0.0,2477.8,2495.9,0,0.0,0.0,0.0,0,3600.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,1153,3600.0,Put,6086.3701
2025-01-22,0.0,0.0,2277.8,2295.9,0,0.0,0.0,0.0,0,3800.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,170,3800.0,Put,6086.3701
2025-01-22,0.0,0.0,2077.8,2095.9,0,0.0,0.0,0.0,0,4000.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,4712,4000.0,Put,6086.3701
2025-01-22,0.0,0.0,1877.8,1895.9,0,0.0,0.0,0.0,0,4200.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,4988,4200.0,Put,6086.3701
2025-01-22,1680.72,31.57,1677.8,1695.9,2,0.0,0.0,0.0,2,4400.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,9528,4400.0,Put,6086.3701
2025-01-22,1580.9,31.7,1577.8,1595.9,4,0.0,0.0,0.0,4,4500.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,10876,4500.0,Put,6086.3701
2025-01-22,1495.0,45.8,1477.8,1495.9,4,0.0,0.0,0.0,4,4600.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,991,4600.0,Put,6086.3701
2025-01-22,0.0,0.0,1377.8,1395.9,0,0.0,0.0,0.0,0,4700.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,3139,4700.0,Put,6086.3701
2025-01-22,1291.28,46.38,1277.8,1295.9,2,0.0,0.0,0.0,2,4800.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,19153,4800.0,Put,6086.3701
2025-01-22,1197.27,50.32,1177.8,1195.9,1,0.0,0.0,0.0,1,4900.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,36175,4900.0,Put,6086.3701
2025-01-22,1145.8,49.0,1127.8,1145.9,4,0.0,0.0,0.0,4,4950.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,2518,4950.0,Put,6086.3701
2025-01-22,1017.01,0.0,1077.8,1095.9,0,0.0,0.0,0.0,20,5000.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,1986,5000.0,Put,6086.3701
2025-01-22,0.0,0.0,1027.8,1045.9,0,0.0,0.0,0.0,0,5050.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,417,5050.0,Put,6086.3701
2025-01-22,995.3,46.0,977.8,995.9,1,0.0,0.0,0.0,2,5100.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,1128,5100.0,Put,6086.3701
2025-01-22,965.51,41.21,952.8,970.9,7,0.0,0.0,0.0,7,5125.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,619,5125.0,Put,6086.3701
2025-01-22,947.47,50.52,927.8,945.9,3,0.0,0.0,0.0,7,5150.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,601,5150.0,Put,6086.3701
2025-01-22,919.51,47.56,902.8,920.9,4,0.0,0.0,0.0,4,5175.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,1060,5175.0,Put,6086.3701
2025-01-22,895.52,48.52,877.8,895.9,1,0.0,0.0,0.0,1,5200.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,1412,5200.0,Put,6086.3701
2025-01-22,0.0,0.0,852.8,870.9,0,0.0,0.0,0.0,0,5225.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,1822,5225.0,Put,6086.3701
2025-01-22,796.03,0.0,827.8,845.9,0,0.0,0.0,0.0,13,5250.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,5590,5250.0,Put,6086.3701
2025-01-22,770.88,0.0,802.8,820.9,0,0.0,0.0,0.0,2,5275.0,Call,6086.3701
2025-01-22,0.05,-0.025,0.0,0.05,25,0.0,0.0,0.0,402,5275.0,Put,6086.3701
2025-01-22,713.05,0.0,777.8,795.9,0,0.0,0.0,0.0,4,5300.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,35,0.0,0.0,0.0,9594,5300.0,Put,6086.3701
2025-01-22,0.0,0.0,752.8,770.9,0,0.0,0.0,0.0,0,5325.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,268,5325.0,Put,6086.3701
2025-01-22,0.0,0.0,727.8,745.9,0,0.0,0.0,0.0,0,5350.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,703,5350.0,Put,6086.3701
2025-01-22,711.7,39.65,702.8,720.9,1,0.0,0.0,0.0,1,5375.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,3224,5375.0,Put,6086.3701
2025-01-22,688.35,41.25,677.8,695.9,5,0.0,0.0,0.0,5,5400.0,Call,6086.3701
2025-01-22,0.05,-0.025,0.0,0.05,3,0.0,0.0,0.0,1559,5400.0,Put,6086.3701
2025-01-22,664.2,42.2,652.8,670.9,1,0.0,0.0,0.0,1,5425.0,Call,6086.3701
2025-01-22,0.25,0.0,0.0,0.05,0,0.0,0.0,0.0,290,5425.0,Put,6086.3701
2025-01-22,643.86,45.81,627.8,645.9,1,0.0,0.0,0.0,1,5450.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,727,5450.0,Put,6086.3701
2025-01-22,0.0,0.0,607.8,625.9,0,0.0,0.0,0.0,0,5470.0,Call,6086.3701
2025-01-22,0.3,0.0,0.0,0.05,0,0.0,0.0,0.0,43,5470.0,Put,6086.3701
2025-01-22,0.0,0.0,602.8,620.9,0,0.0,0.0,0.0,0,5475.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,694,5475.0,Put,6086.3701
2025-01-22,0.0,0.0,597.8,615.9,0,0.0,0.0,0.0,0,5480.0,Call,6086.3701
2025-01-22,0.25,0.0,0.0,0.05,0,0.0,0.0,0.0,82,5480.0,Put,6086.3701
2025-01-22,0.0,0.0,587.8,605.9,0,0.0,0.0,0.0,0,5490.0,Call,6086.3701
2025-01-22,0.05,0.0,0.0,0.05,5,0.0,0.0,0.0,343,5490.0,Put,6086.3701
2025-01-22,590.35,45.5,577.8,595.9,3,0.0,0.0,0.0,3,5500.0,Call,6086.3701
2025-01-22,0.05,-0.025,0.0,0.05,46,0.0,0.0,0.0,1125,5500.0,Put,6086.3701
2025-01-22,0.0,0.0,567.8,585.9,0,0.0,0.0,0.0,0,5510.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,339,5510.0,Put,6086.3701
2025-01-22,0.0,0.0,557.8,575.9,0,0.0,0.0,0.0,0,5520.0,Call,6086.3701
2025-01-22,0.15,0.0,0.0,0.05,0,0.0,0.0,0.0,419,5520.0,Put,6086.3701
2025-01-22,0.0,0.0,552.8,570.9,0,0.0,0.0,0.0,0,5525.0,Call,6086.3701
2025-01-22,0.05,-0.025,0.0,0.05,457,0.0,0.0,0.0,753,5525.0,Put,6086.3701
2025-01-22,557.0,37.6,547.8,565.9,8,0.0,0.0,0.0,8,5530.0,Call,6086.3701
2025-01-22,0.05,-0.025,0.0,0.05,545,0.0,0.0,0.0,714,5530.0,Put,6086.3701
2025-01-22,493.61,0.0,537.8,555.9,0,0.0,0.0,0.0,0,5540.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,791,5540.0,Put,6086.3701
2025-01-22,499.0,0.0,527.8,545.9,0,0.0,0.0,0.0,6,5550.0,Call,6086.3701
2025-01-22,0.05,-0.025,0.0,0.05,4,0.0,0.0,0.0,1602,5550.0,Put,6086.3701
2025-01-22,0.0,0.0,517.8,535.9,0,0.0,0.0,0.0,0,5560.0,Call,6086.3701
2025-01-22,0.05,-0.025,0.0,0.05,1,0.0,0.0,0.0,930,5560.0,Put,6086.3701
2025-01-22,0.0,0.0,507.8,525.9,0,0.0,0.0,0.0,0,5570.0,Call,6086.3701
2025-01-22,0.05,-0.025,0.0,0.05,1,0.0,0.0,0.0,161,5570.0,Put,6086.3701
2025-01-22,0.0,0.0,502.8,520.9,0,0.0,0.0,0.0,0,5575.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,281,5575.0,Put,6086.3701
2025-01-22,0.0,0.0,497.8,515.9,0,0.0,0.0,0.0,0,5580.0,Call,6086.3701
2025-01-22,0.05,-0.025,0.0,0.05,1,0.0,0.0,0.0,152,5580.0,Put,6086.3701
2025-01-22,0.0,0.0,492.8,510.9,0,0.0,0.0,0.0,0,5585.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,5,5585.0,Put,6086.3701
2025-01-22,443.41,0.0,487.8,505.9,0,0.0,0.0,0.0,0,5590.0,Call,6086.3701
2025-01-22,0.05,-0.025,0.0,0.05,1,0.0,0.0,0.0,195,5590.0,Put,6086.3701
2025-01-22,0.0,0.0,482.8,500.9,0,0.0,0.0,0.0,0,5595.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,70,5595.0,Put,6086.3701
2025-01-22,199.2,0.0,477.8,495.9,0,0.0,0.0,0.0,1,5600.0,Call,6086.3701
2025-01-22,0.05,-0.025,0.0,0.05,13,0.0,0.0,0.0,4764,5600.0,Put,6086.3701
2025-01-22,0.0,0.0,472.8,490.9,0,0.0,0.0,0.0,0,5605.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,224,5605.0,Put,6086.3701
2025-01-22,0.0,0.0,467.8,485.9,0,0.0,0.0,0.0,0,5610.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,271,5610.0,Put,6086.3701
2025-01-22,0.0,0.0,462.8,480.9,0,0.0,0.0,0.0,0,5615.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,784,5615.0,Put,6086.3701
2025-01-22,0.0,0.0,457.8,475.9,0,0.0,0.0,0.0,0,5620.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,3843,5620.0,Put,6086.3701
2025-01-22,185.98,0.0,452.8,470.9,0,0.0,0.0,0.0,7,5625.0,Call,6086.3701
2025-01-22,0.12,0.0,0.0,0.05,0,0.0,0.0,0.0,1285,5625.0,Put,6086.3701
2025-01-22,0.0,0.0,447.8,465.9,0,0.0,0.0,0.0,0,5630.0,Call,6086.3701
2025-01-22,0.15,0.0,0.0,0.05,0,0.0,0.0,0.0,566,5630.0,Put,6086.3701
2025-01-22,0.0,0.0,442.8,460.9,0,0.0,0.0,0.0,0,5635.0,Call,6086.3701
2025-01-22,0.07,0.0,0.0,0.05,0,0.0,0.0,0.0,116,5635.0,Put,6086.3701
2025-01-22,0.0,0.0,437.8,455.9,0,0.0,0.0,0.0,0,5640.0,Call,6086.3701
2025-01-22,0.15,0.0,0.0,0.05,0,0.0,0.0,0.0,262,5640.0,Put,6086.3701
2025-01-22,0.0,0.0,432.8,450.9,0,0.0,0.0,0.0,0,5645.0,Call,6086.3701
2025-01-22,0.3,0.0,0.0,0.05,0,0.0,0.0,0.0,83,5645.0,Put,6086.3701
2025-01-22,371.43,0.0,427.8,445.9,0,0.0,0.0,0.0,18,5650.0,Call,6086.3701
2025-01-22,0.05,-0.025,0.0,0.05,4,0.0,0.0,0.0,1373,5650.0,Put,6086.3701
2025-01-22,0.0,0.0,422.8,440.9,0,0.0,0.0,0.0,0,5655.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,80,5655.0,Put,6086.3701
2025-01-22,0.0,0.0,417.8,435.9,0,0.0,0.0,0.0,0,5660.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,676,5660.0,Put,6086.3701
2025-01-22,423.73,39.28,412.8,430.9,1,0.0,0.0,0.0,1,5665.0,Call,6086.3701
2025-01-22,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,127,5665.0,Put,6086.3701
2025-01-22,0.0,0.0,407.8,425.9,0,0.0,0.0,0.0,0,5670.0,Call,6086.3701
